"ts","O","customer","driver","demand","gap","supply"
1,1,173,174,187,9,178
1,2,9,8,9,1,8
1,3,3,2,3,1,2
1,4,22,23,26,3,23
1,5,0,0,0,0,0
1,6,7,7,7,0,0
1,7,113,114,124,7,117
1,8,216,217,229,9,220
1,9,18,18,18,0,0
1,10,1,1,1,0,0
1,11,15,15,15,0,0
1,12,136,138,144,5,139
1,13,1,1,1,0,0
1,14,72,71,79,6,73
1,15,0,0,0,0,0
1,16,5,5,5,0,0
1,17,2,1,2,1,1
1,18,2,2,2,0,0
1,19,29,31,32,1,31
1,20,39,39,42,2,40
1,21,50,50,51,1,50
1,22,28,20,30,9,21
1,23,206,208,218,5,213
1,24,55,60,63,2,61
1,25,19,18,20,1,19
1,26,9,9,9,0,0
1,27,64,61,69,3,66
1,28,93,99,101,0,0
1,29,13,13,13,0,0
1,30,1,1,1,0,0
1,31,4,4,4,0,0
1,32,0,0,0,0,0
1,33,3,3,3,0,0
1,34,2,2,2,0,0
1,35,3,3,3,0,0
1,36,8,8,9,1,8
1,37,105,104,111,6,105
1,38,4,4,4,0,0
1,39,19,17,19,2,17
1,40,5,5,5,0,0
1,41,2,1,2,1,1
1,42,81,87,89,2,87
1,43,0,0,0,0,0
1,44,0,0,0,0,0
1,45,5,5,5,0,0
1,46,74,79,82,1,81
1,47,4,4,4,0,0
1,48,185,186,196,5,191
1,49,1,1,1,0,0
1,50,0,0,0,0,0
1,51,734,724,801,34,767
1,52,0,0,0,0,0
1,53,4,4,4,0,0
1,54,21,21,21,0,0
1,55,2,2,2,0,0
1,56,2,2,2,0,0
1,57,12,13,14,1,13
1,58,0,0,0,0,0
1,59,1,1,1,0,0
1,60,0,0,0,0,0
1,61,3,1,3,2,1
1,62,0,0,0,0,0
1,63,0,0,0,0,0
1,64,7,6,7,1,6
1,65,1,1,1,0,0
1,66,9,9,9,0,0
2,1,180,185,198,7,191
2,2,19,19,19,0,0
2,3,0,0,0,0,0
2,4,40,37,42,3,39
2,5,0,0,0,0,0
2,6,6,6,6,0,0
2,7,170,169,191,11,180
2,8,267,272,290,17,273
2,9,12,12,12,0,0
2,10,2,2,2,0,0
2,11,9,10,11,0,0
2,12,168,175,188,4,184
2,13,6,6,6,0,0
2,14,70,68,80,12,68
2,15,0,0,0,0,0
2,16,12,12,12,0,0
2,17,2,2,2,0,0
2,18,2,2,2,0,0
2,19,27,28,31,2,29
2,20,31,31,33,1,32
2,21,31,31,35,4,31
2,22,26,24,28,4,24
2,23,377,369,404,24,380
2,24,49,52,53,1,52
2,25,20,20,21,1,20
2,26,6,6,6,0,0
2,27,83,85,98,10,88
2,28,110,110,116,5,111
2,29,10,11,11,0,0
2,30,1,0,1,1,0
2,31,5,5,5,0,0
2,32,3,2,3,1,2
2,33,3,3,3,0,0
2,34,3,3,3,0,0
2,35,2,2,2,0,0
2,36,10,10,10,0,0
2,37,202,172,230,56,174
2,38,7,6,7,1,6
2,39,17,10,24,12,12
2,40,7,7,7,0,0
2,41,7,6,7,1,6
2,42,62,63,69,4,65
2,43,0,0,0,0,0
2,44,1,1,1,0,0
2,45,2,2,3,0,0
2,46,52,50,54,3,51
2,47,4,4,4,0,0
2,48,190,186,205,8,197
2,49,1,1,1,0,0
2,50,0,0,0,0,0
2,51,1210,969,1402,317,1085
2,52,1,1,1,0,0
2,53,1,0,1,1,0
2,54,17,16,18,1,17
2,55,3,3,3,0,0
2,56,0,0,0,0,0
2,57,13,12,14,2,12
2,58,1,1,1,0,0
2,59,1,1,1,0,0
2,60,1,1,1,0,0
2,61,1,1,1,0,0
2,62,0,0,0,0,0
2,63,0,0,0,0,0
2,64,7,7,7,0,0
2,65,0,0,0,0,0
2,66,12,12,12,0,0
3,1,172,176,192,10,182
3,2,13,13,13,0,0
3,3,3,1,3,2,1
3,4,68,70,72,1,71
3,5,1,1,1,0,0
3,6,8,8,8,0,0
3,7,136,128,143,9,134
3,8,252,260,273,9,264
3,9,21,21,22,1,21
3,10,0,0,0,0,0
3,11,11,11,11,0,0
3,12,130,134,150,15,135
3,13,6,6,7,1,6
3,14,106,72,137,62,75
3,15,0,0,0,0,0
3,16,7,6,7,1,6
3,17,1,1,1,0,0
3,18,5,6,6,0,0
3,19,34,35,38,3,35
3,20,22,23,23,0,0
3,21,46,43,49,4,45
3,22,25,25,26,1,25
3,23,544,369,674,292,382
3,24,58,55,63,7,56
3,25,29,28,29,0,0
3,26,5,5,5,0,0
3,27,78,78,82,1,81
3,28,103,106,113,5,108
3,29,10,9,10,1,9
3,30,3,3,3,0,0
3,31,9,8,9,1,8
3,32,2,2,2,0,0
3,33,5,5,6,1,5
3,34,3,3,3,0,0
3,35,6,6,8,2,6
3,36,7,7,7,0,0
3,37,197,147,250,97,153
3,38,5,5,5,0,0
3,39,16,10,22,9,13
3,40,9,9,9,0,0
3,41,3,3,3,0,0
3,42,64,70,75,4,71
3,43,0,0,0,0,0
3,44,0,0,0,0,0
3,45,3,3,3,0,0
3,46,44,45,46,0,0
3,47,8,6,8,2,6
3,48,172,163,191,22,169
3,49,0,0,0,0,0
3,50,0,0,0,0,0
3,51,1614,622,2365,1700,665
3,52,0,0,0,0,0
3,53,1,1,1,0,0
3,54,18,14,18,3,15
3,55,4,4,4,0,0
3,56,1,1,1,0,0
3,57,10,9,12,3,9
3,58,0,0,0,0,0
3,59,3,2,3,1,2
3,60,0,0,0,0,0
3,61,3,3,3,0,0
3,62,0,0,0,0,0
3,63,1,1,1,0,0
3,64,5,5,5,0,0
3,65,3,2,3,1,2
3,66,11,10,12,2,10
4,1,155,164,173,5,168
4,2,9,9,10,0,0
4,3,1,1,2,1,1
4,4,41,42,44,2,42
4,5,3,2,3,1,2
4,6,5,5,5,0,0
4,7,179,174,193,14,179
4,8,235,240,257,11,246
4,9,29,30,34,3,31
4,10,1,0,1,1,0
4,11,14,14,14,0,0
4,12,153,152,163,8,155
4,13,5,5,6,0,0
4,14,107,64,135,71,64
4,15,0,0,0,0,0
4,16,5,5,5,0,0
4,17,3,3,3,0,0
4,18,3,4,4,0,0
4,19,38,38,40,2,38
4,20,35,35,35,0,0
4,21,50,52,56,1,55
4,22,31,26,34,7,27
4,23,914,393,1425,1002,423
4,24,45,44,48,3,45
4,25,19,19,21,1,20
4,26,8,6,8,2,6
4,27,102,101,110,3,107
4,28,110,111,118,3,115
4,29,9,9,9,0,0
4,30,1,1,1,0,0
4,31,4,4,4,0,0
4,32,1,1,1,0,0
4,33,6,5,6,1,5
4,34,3,3,4,1,3
4,35,4,3,4,0,0
4,36,10,10,12,1,11
4,37,223,155,300,136,164
4,38,9,9,11,1,10
4,39,9,7,12,4,8
4,40,8,9,9,0,0
4,41,3,3,3,0,0
4,42,54,55,57,0,0
4,43,0,0,0,0,0
4,44,1,0,1,1,0
4,45,2,2,2,0,0
4,46,49,44,54,8,46
4,47,6,4,7,3,4
4,48,230,212,279,63,216
4,49,0,0,0,0,0
4,50,0,0,0,0,0
4,51,2205,500,3626,3100,526
4,52,0,0,0,0,0
4,53,3,3,3,0,0
4,54,11,10,12,1,11
4,55,8,8,8,0,0
4,56,1,0,4,4,0
4,57,4,4,4,0,0
4,58,4,4,4,0,0
4,59,2,0,2,2,0
4,60,1,1,1,0,0
4,61,1,1,1,0,0
4,62,0,0,0,0,0
4,63,0,0,0,0,0
4,64,15,15,15,0,0
4,65,0,0,0,0,0
4,66,16,16,16,0,0
5,1,146,147,152,1,151
5,2,11,11,11,0,0
5,3,0,0,0,0,0
5,4,24,25,25,0,0
5,5,1,1,1,0,0
5,6,2,2,2,0,0
5,7,224,191,292,91,201
5,8,237,239,250,8,242
5,9,25,26,28,1,27
